"CONAME","lat","long","NAICS6","NAICSD","sales_M","employees","PUBPRV","HDBRCH","is_hq","STATE","STCITY","year"
"West Coast Projects Ltd",49.284839,-123.121925,541370,"Surveying and Mapping (except Geophysical) Service",0.296,3,NA,NA,TRUE,"BC","Vancouver",2025
"Sundune Power Systems Inc",49.179861,-123.081244,541330,"Engineering Services",6.627,34,NA,NA,TRUE,"BC","Richmond",2025
"Contech Engineering Inc",49.173796,-123.135619,541330,"Engineering Services",6.237,32,NA,NA,TRUE,"BC","Richmond",2025
"Associated Engineering",42.884267,-81.091526,541330,"Engineering Services",9.551,49,NA,NA,TRUE,"ON","Belmont",2025
"SB Engineering",49.176262,-123.12854,541330,"Engineering Services",6.237,32,NA,NA,TRUE,"BC","Richmond",2025
"ITHIVE.ORG",45.179449,-76.126138,541511,"Custom Computer Programming Services",0.15,1,NA,NA,TRUE,"ON","Almonte",2025
"SLS Global Consltng Group Inc",49.1406963,-123.0917164,541330,"Engineering Services",6.237,32,NA,NA,TRUE,"BC","Richmond",2025
"One Engineering Ltd",49.144136,-123.139242,541330,"Engineering Services",6.237,32,NA,NA,TRUE,"BC","Richmond",2025
"Teknician Solutions",49.1335445,-123.142642,541511,"Custom Computer Programming Services",0.3,2,NA,NA,TRUE,"BC","Richmond",2025
"Solix Technologies Inc",46.635555,-71.334271,541511,"Custom Computer Programming Services",8.228,55,NA,NA,TRUE,"QC","Levis",2025
"Realcrete Consultants Inc",49.146447,-123.100628,541330,"Engineering Services",6.237,32,NA,NA,TRUE,"BC","Richmond",2025
"Weft X Warp",49.134887,-123.16141,541330,"Engineering Services",6.237,32,NA,NA,TRUE,"BC","Richmond",2025
"Productivity Catalyst",49.31111,-123.066564,541330,"Engineering Services",5.848,30,NA,NA,TRUE,"BC","North Vancouver",2025
"Canadian Central Engrng Ltd",49.311009,-123.075265,541330,"Engineering Services",6.237,32,NA,NA,TRUE,"BC","North Vancouver",2025
"Stark CNC",48.653174,-123.412713,333310,"Commercial and Service Industry Machinery Manufact",2.563,14,NA,NA,TRUE,"BC","Sidney",2025
"Hbhe Consulting",48.793554,-123.740564,541330,"Engineering Services",0.195,1,NA,NA,TRUE,"BC","North Cowichan",2025
"Alpha It",49.16547,-123.939398,541511,"Custom Computer Programming Services",1.048,7,NA,NA,TRUE,"BC","Nanaimo",2025
"Key Design Engineering Inc",43.037469,-80.883613,541330,"Engineering Services",9.746,50,NA,NA,TRUE,"ON","Ingersoll",2025
"Music Leaf",49.9683808,-97.1480266,334610,"Manufacturing and Reproducing Magnetic and Optical",0.88,3,NA,NA,TRUE,"MB","Winnipeg",2025
"Go Eng Kiat A T",49.934147,-97.154554,541330,"Engineering Services",6.822,35,NA,NA,TRUE,"MB","Winnipeg",2025
"Werecoverdata Data Recovery",49.895397,-97.13907,541511,"Custom Computer Programming Services",0.3,2,NA,NA,TRUE,"MB","Winnipeg",2025
"Crosscheck Networks Canada",43.719604,-79.59256,541511,"Custom Computer Programming Services",0.3,2,NA,NA,TRUE,"ON","Etobicoke",2025
"Terance Consulting Inc",50.026174,-110.702626,541330,"Engineering Services",6.627,34,NA,NA,TRUE,"AB","Medicine Hat",2025
"Simpliciti Staging-Interior",46.196012,-64.948052,541330,"Engineering Services",0.585,3,NA,NA,TRUE,"NB","Lutes Mountain",2025
"RC Technical Svc",46.137717,-64.787448,541330,"Engineering Services",0.585,3,NA,NA,TRUE,"NB","Macdougall Settl",2025
"Veni Vidi Ico Enterprises Inc",51.028288,-113.98389,541330,"Engineering Services",0.358,3,NA,NA,TRUE,"AB","Calgary",2025
"Paragon Engineered Solutions",45.962938,-66.646025,541330,"Engineering Services",4.873,25,NA,NA,TRUE,"NB","Fredericton",2025
"Engineering 1991 Ltd",45.957255,-66.648133,541330,"Engineering Services",9.551,49,NA,NA,TRUE,"NB","Fredericton",2025
"Syntecx Global Corp",46.00006,-66.6442812,541511,"Custom Computer Programming Services",0.15,1,NA,NA,TRUE,"NB","Fredericton",2025
"Infisol Engineers Inc",50.9007635,-114.0362279,541330,"Engineering Services",0.585,3,NA,NA,TRUE,"AB","Calgary",2025
"Da Wang",50.916204,-114.113007,541330,"Engineering Services",0.585,3,NA,NA,TRUE,"AB","Calgary",2025
"MJ Murphy & Assoc Ltd",47.633604,-52.678528,541330,"Engineering Services",0.39,2,NA,NA,TRUE,"NL","Logy Bay",2025
"SDGGP",47.52601,-52.767919,541330,"Engineering Services",9.941,51,NA,NA,TRUE,"NL","Mount Pearl",2025
"Tytan Land Svc Ltd",51.109605,-114.39415,541370,"Surveying and Mapping (except Geophysical) Service",0.296,3,NA,NA,TRUE,"AB","Rocky View County",2025
"Lloyd's Register Applied Tech",44.695685,-63.575137,541330,"Engineering Services",5.848,30,NA,NA,TRUE,"NS","Dartmouth",2025
"Smith + Andersen",44.6520889,-63.5761473,541330,"Engineering Services",2.729,14,NA,NA,TRUE,"NS","Halifax",2025
"Endless It Solutions",53.338515,-113.4304765,541511,"Custom Computer Programming Services",0.449,3,NA,NA,TRUE,"AB","Beaumont",2025
"Electec Engineering Inc",44.747552,-63.636414,541330,"Engineering Services",0.585,3,NA,NA,TRUE,"NS","Bedford",2025
"Aptech",53.476623,-113.47931,541330,"Engineering Services",1.95,10,NA,NA,TRUE,"AB","Edmonton",2025
"Terraliving Consultants Inc",50.6855175,-119.0714086,541330,"Engineering Services",8.576,44,NA,NA,TRUE,"BC","Mara",2025
"Bel Design Build",44.2305101,-76.4796757,541330,"Engineering Services",6.627,34,NA,NA,TRUE,"ON","Kingston",2025
"Full Circle Automation",44.100304,-78.629208,541511,"Custom Computer Programming Services",0.449,3,NA,NA,TRUE,"ON","Pontypool",2025
"Aerius Engineering Ltd",49.8649022,-119.5655792,541330,"Engineering Services",6.237,32,NA,NA,TRUE,"BC","West Kelowna",2025
"Sell-Energy Canada Z",43.8758845,-78.8621715,541330,"Engineering Services",1.95,10,NA,NA,TRUE,"ON","Oshawa",2025
"Coastline Land Surveying Ltd",49.3010612,-122.8199563,541370,"Surveying and Mapping (except Geophysical) Service",0.296,3,NA,NA,TRUE,"BC","Coquitlam",2025
"Rick Vender & Assoc",43.864089,-79.329486,541330,"Engineering Services",6.627,34,NA,NA,TRUE,"ON","Unionville",2025
"Deyonge Engineering Ltd",43.852032,-79.308118,541330,"Engineering Services",6.627,34,NA,NA,TRUE,"ON","Markham",2025
"Summit Land Surveying",49.828982,-119.635713,541370,"Surveying and Mapping (except Geophysical) Service",0.197,2,NA,NA,TRUE,"BC","West Kelowna",2025
"Buenox Engineering",43.85338,-79.382658,541330,"Engineering Services",6.627,34,NA,NA,TRUE,"ON","Richmond Hill",2025
"Dek Tek Engineering & Design",49.260929,-122.988972,541330,"Engineering Services",0.585,3,NA,NA,TRUE,"BC","Burnaby",2025
"Avia NG Inc",43.862896,-79.384468,541330,"Engineering Services",8.381,43,NA,NA,TRUE,"ON","Richmond Hill",2025
"Sharevision",49.276804,-123.076997,541511,"Custom Computer Programming Services",0.449,3,NA,NA,TRUE,"BC","Vancouver",2025
"TBM Engineers",43.820223,-79.6188835,541330,"Engineering Services",6.627,34,NA,NA,TRUE,"ON","Woodbridge",2025
"Scoop Consulting",49.249052,-123.090658,541511,"Custom Computer Programming Services",0.15,1,NA,NA,TRUE,"BC","Vancouver",2025
"Hubbert Eme Engineering",44.3874646,-79.6945301,541330,"Engineering Services",6.627,34,NA,NA,TRUE,"ON","Barrie",2025
"Renderit Solutions",49.2849127,-123.1118547,541330,"Engineering Services",5.848,30,NA,NA,TRUE,"BC","Vancouver",2025
"Geoenvirologic Consulting Ltd",49.226493,-123.189317,541330,"Engineering Services",0.39,2,NA,NA,TRUE,"BC","Vancouver",2025
"Go Fleet",43.6577601,-79.5998784,541330,"Engineering Services",7.212,37,NA,NA,TRUE,"ON","Mississauga",2025
"ML Emporio Properties Ltd",49.1696771,-123.0243757,541370,"Surveying and Mapping (except Geophysical) Service",1.97,20,NA,NA,TRUE,"BC","Richmond",2025
"Lofted Design & Mfg",49.139425,-123.104711,541330,"Engineering Services",6.237,32,NA,NA,TRUE,"BC","Richmond",2025
"Maximilian Electronics Engrng",43.5202495,-79.63977,541330,"Engineering Services",6.627,34,NA,NA,TRUE,"ON","Mississauga",2025
"Compucom",43.638442,-79.627741,541511,"Custom Computer Programming Services",14.062,94,NA,2,FALSE,"ON","Mississauga",2025
"Spinobe Cad Cam Svc",48.479132,-123.396459,541330,"Engineering Services",6.432,33,NA,NA,TRUE,"BC","Victoria",2025
"Lifecycle Roofing",48.47401,-123.502809,541330,"Engineering Services",0.358,3,NA,NA,TRUE,"BC","Victoria",2025
"Water Business Depot",43.597623,-79.705208,333310,"Commercial and Service Industry Machinery Manufact",2.58,15,NA,NA,TRUE,"ON","Mississauga",2025
"Mainra Traders",43.4094356,-79.7761136,333310,"Commercial and Service Industry Machinery Manufact",2.746,15,NA,NA,TRUE,"ON","Oakville",2025
"Ideationmax Inc",43.437553,-79.753286,541511,"Custom Computer Programming Services",5.685,38,NA,NA,TRUE,"ON","Oakville",2025
"Or-Techs Network Svc Inc",49.776032,-97.166666,541511,"Custom Computer Programming Services",0.748,5,NA,NA,TRUE,"MB","Winnipeg",2025
"Ali Javid",43.691293,-79.838062,541511,"Custom Computer Programming Services",5.685,38,NA,NA,TRUE,"ON","Brampton",2025
