region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
59,British Columbia / Colombie-Britannique,2018,333314,Optical Instrument & Lens Manufacturing,secondary,0.858,<$5M,2,1.5,3.0,0.244,0.719,0.223,False
59,British Columbia / Colombie-Britannique,2018,334511,Search Detection & Navigation Instruments,primary,124.656,>=$5M,18,18.7,336.0,0.993,1.848,0.907,False
59,British Columbia / Colombie-Britannique,2018,336411,Aircraft Manufacturing,primary,36.3,>=$5M,9,6.7,60.0,0.291,0.987,0.266,False
59,British Columbia / Colombie-Britannique,2018,336611,Ship Building & Repairing,secondary,112.332,>=$5M,49,10.3,506.0,1.776,2.804,1.622,False
59,British Columbia / Colombie-Britannique,2018,336612,Boat Building,secondary,286.704,>=$5M,84,17.2,1448.0,3.743,2.504,3.423,False
59,British Columbia / Colombie-Britannique,2018,336992,"Military Armored Vehicle, Tank & Tank Cmpnnt Mfg",primary,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2018,336999,All Other Transportation Equipment Manufacturing,primary,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2018,541330,Engineering Services,secondary,3148.534,>=$5M,1432,9.5,13647.0,1.301,1.254,1.188,False
59,British Columbia / Colombie-Britannique,2018,541370,Surveying & Mapping (except Geophysical) Services,secondary,294.882,>=$5M,256,7.8,2006.0,0.953,0.831,0.871,False
59,British Columbia / Colombie-Britannique,2018,541511,Custom Computer Programming Services,secondary,932.535,>=$5M,551,8.2,4505.0,2.103,2.036,1.918,False
59,British Columbia / Colombie-Britannique,2018,ALL,All,all,5389.551,>=$5M,2438,9.4,22967.0,1.033,1.287,1.194,False
59,British Columbia / Colombie-Britannique,2018,PRIMARY,Primary,primary,184.686,>=$5M,32,14.5,465.0,0.594,1.389,0.604,False
59,British Columbia / Colombie-Britannique,2018,SECONDARY,Secondary,secondary,5204.865,>=$5M,2406,9.4,22502.0,1.061,1.285,1.219,False
59,British Columbia / Colombie-Britannique,2019,325920,Explosives Manufacturing,primary,20.672,>=$5M,3,21.3,64.0,2.386,0.824,2.179,False
59,British Columbia / Colombie-Britannique,2019,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,439.271,>=$5M,34,11.6,396.0,0.274,0.347,0.252,False
59,British Columbia / Colombie-Britannique,2019,333314,Optical Instrument & Lens Manufacturing,secondary,0.858,<$5M,2,1.5,3.0,0.253,0.776,0.231,False
59,British Columbia / Colombie-Britannique,2019,334511,Search Detection & Navigation Instruments,primary,174.968,>=$5M,21,24.1,507.0,1.179,1.574,1.144,False
59,British Columbia / Colombie-Britannique,2019,336411,Aircraft Manufacturing,primary,286.165,>=$5M,10,47.3,473.0,0.967,0.999,0.883,False
59,British Columbia / Colombie-Britannique,2019,336414,Guided Missile & Space Vehicle Manufacturing,primary,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2019,336611,Ship Building & Repairing,secondary,119.88,>=$5M,53,10.2,540.0,1.716,2.865,1.567,False
59,British Columbia / Colombie-Britannique,2019,336612,Boat Building,secondary,286.902,>=$5M,85,17.0,1449.0,3.793,2.595,3.468,False
59,British Columbia / Colombie-Britannique,2019,336992,"Military Armored Vehicle, Tank & Tank Cmpnnt Mfg",primary,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2019,336999,All Other Transportation Equipment Manufacturing,primary,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2019,541330,Engineering Services,secondary,3742.354,>=$5M,1624,10.0,16222.0,1.157,1.23,1.057,False
59,British Columbia / Colombie-Britannique,2019,541370,Surveying & Mapping (except Geophysical) Services,secondary,322.812,>=$5M,280,7.8,2196.0,1.01,0.874,0.922,False
59,British Columbia / Colombie-Britannique,2019,541511,Custom Computer Programming Services,secondary,1001.673,>=$5M,587,8.2,4839.0,1.944,1.915,1.773,False
59,British Columbia / Colombie-Britannique,2019,ALL,All,all,6399.361,>=$5M,2702,9.9,26696.0,1.002,1.269,1.108,False
59,British Columbia / Colombie-Britannique,2019,PRIMARY,Primary,primary,485.611,>=$5M,37,28.4,1051.0,0.924,1.239,0.856,False
59,British Columbia / Colombie-Britannique,2019,SECONDARY,Secondary,secondary,5913.75,>=$5M,2665,9.6,25645.0,1.009,1.269,1.122,False
59,British Columbia / Colombie-Britannique,2020,325920,Explosives Manufacturing,primary,29.07,>=$5M,7,12.9,90.0,3.156,1.764,2.895,False
59,British Columbia / Colombie-Britannique,2020,331110,Iron & Steel Mills & Ferroalloy Manufacturing,secondary,380.043,>=$5M,32,10.8,344.0,0.207,0.329,0.193,False
59,British Columbia / Colombie-Britannique,2020,333314,Optical Instrument & Lens Manufacturing,secondary,0.858,<$5M,2,1.5,3.0,0.278,0.874,0.255,False
59,British Columbia / Colombie-Britannique,2020,334511,Search Detection & Navigation Instruments,primary,183.501,>=$5M,22,24.1,530.0,1.224,1.657,1.19,False
59,British Columbia / Colombie-Britannique,2020,336411,Aircraft Manufacturing,primary,286.165,>=$5M,10,47.3,473.0,1.064,0.993,0.976,False
59,British Columbia / Colombie-Britannique,2020,336414,Guided Missile & Space Vehicle Manufacturing,primary,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2020,336611,Ship Building & Repairing,secondary,115.884,>=$5M,52,10.0,522.0,1.621,2.793,1.487,False
59,British Columbia / Colombie-Britannique,2020,336612,Boat Building,secondary,302.742,>=$5M,86,17.8,1529.0,3.887,2.646,3.577,False
59,British Columbia / Colombie-Britannique,2020,336992,"Military Armored Vehicle, Tank & Tank Cmpnnt Mfg",primary,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2020,336999,All Other Transportation Equipment Manufacturing,primary,,<$5M,<2,,,,,,True
59,British Columbia / Colombie-Britannique,2020,541330,Engineering Services,secondary,3679.753,>=$5M,1622,9.8,15950.0,0.839,1.221,0.77,False
59,British Columbia / Colombie-Britannique,2020,541370,Surveying & Mapping (except Geophysical) Services,secondary,302.379,>=$5M,280,7.3,2057.0,0.931,0.858,0.857,False
