region_uid,region_name,year,tier,object_cluster,total_value,n_contracts,n_vendors
46,Manitoba,2021,Core Defence Industrial Complex,ALL,250969.98,11,4
46,Manitoba,2021,General Government Support,ALL,26849385.56,255,87
46,Manitoba,2021,Industrial and Technical Support,ALL,10389834.31,147,46
46,Manitoba,2022,Core Defence Industrial Complex,ALL,160072.2,7,3
46,Manitoba,2022,General Government Support,ALL,68575998.95,297,90
46,Manitoba,2022,Industrial and Technical Support,ALL,21520535.88,150,59
46,Manitoba,2023,Core Defence Industrial Complex,ALL,31835868.52,17,11
46,Manitoba,2023,General Government Support,ALL,42546291.99,413,172
46,Manitoba,2023,Industrial and Technical Support,ALL,20645738.8,157,64
46,Manitoba,2024,Core Defence Industrial Complex,ALL,100863.01,7,6
46,Manitoba,2024,General Government Support,ALL,11504569.57,301,123
46,Manitoba,2024,Industrial and Technical Support,ALL,15265650.55,108,58
46,Manitoba,2025,Core Defence Industrial Complex,ALL,1373717.85,18,9
46,Manitoba,2025,General Government Support,ALL,32921921.39,468,164
46,Manitoba,2025,Industrial and Technical Support,ALL,13080432.52,123,65
46,Manitoba,2026,Core Defence Industrial Complex,ALL,26054182.67,7,6
46,Manitoba,2026,General Government Support,ALL,31617384.92,145,67
46,Manitoba,2026,Industrial and Technical Support,ALL,6379551.37,41,24
47,Saskatchewan,2016,Core Defence Industrial Complex,ALL,13095.15,1,1
47,Saskatchewan,2016,General Government Support,ALL,322272.78,3,3
47,Saskatchewan,2016,Industrial and Technical Support,ALL,175072.96,5,3
47,Saskatchewan,2017,General Government Support,ALL,2769933.64,52,33
47,Saskatchewan,2017,Industrial and Technical Support,ALL,12334110.57,42,25
47,Saskatchewan,2018,Core Defence Industrial Complex,ALL,196369.45,5,4
47,Saskatchewan,2018,General Government Support,ALL,2587411.46,91,43
47,Saskatchewan,2018,Industrial and Technical Support,ALL,3091901.7,72,23
47,Saskatchewan,2019,Core Defence Industrial Complex,ALL,436096.3,2,2
47,Saskatchewan,2019,General Government Support,ALL,3756468.66,88,29
47,Saskatchewan,2019,Industrial and Technical Support,ALL,2938454.94,51,20
47,Saskatchewan,2020,Core Defence Industrial Complex,ALL,114743.39,3,3
47,Saskatchewan,2020,General Government Support,ALL,10797690.72,74,42
47,Saskatchewan,2020,Industrial and Technical Support,ALL,6743161.11,91,23
47,Saskatchewan,2021,Core Defence Industrial Complex,ALL,12692.21,1,1
47,Saskatchewan,2021,General Government Support,ALL,4246281.4,59,39
47,Saskatchewan,2021,Industrial and Technical Support,ALL,6199838.59,114,37
47,Saskatchewan,2022,Core Defence Industrial Complex,ALL,17787,1,1
47,Saskatchewan,2022,General Government Support,ALL,11072599.63,141,58
47,Saskatchewan,2022,Industrial and Technical Support,ALL,4494582697.9,120,42
47,Saskatchewan,2023,Core Defence Industrial Complex,ALL,211292.22,2,2
47,Saskatchewan,2023,General Government Support,ALL,31332144.73,111,54
47,Saskatchewan,2023,Industrial and Technical Support,ALL,38639565.03,110,45
47,Saskatchewan,2024,Core Defence Industrial Complex,ALL,84087.48999999999,2,2
47,Saskatchewan,2024,General Government Support,ALL,4406289.01,81,43
47,Saskatchewan,2024,Industrial and Technical Support,ALL,13242112.39,52,30
47,Saskatchewan,2025,Core Defence Industrial Complex,ALL,484287.83999999997,5,4
47,Saskatchewan,2025,General Government Support,ALL,6434859.39,142,48
