"CONAME","lat","long","NAICS6","NAICSD","sales_M","employees","PUBPRV","HDBRCH","STATE","STCITY","year"
"Aiolos Engineering",43.717923,-79.592963,541330,"Engineering Services",9.24,40,NA,NA,"ON","Etobicoke",2017
"Parsons Brinckerhoff",43.642075,-79.374584,541330,"Engineering Services",1.848,8,NA,NA,"ON","Toronto",2017
"Industrial Engineers Society",43.6656252,-79.4848454,541330,"Engineering Services",0.693,3,NA,NA,"ON","York",2017
"Synchronicity Projects Inc",43.706212,-79.389278,541330,"Engineering Services",1.848,8,NA,NA,"ON","Toronto",2017
"Boom CA Engineering Ltd",49.328971,-123.094134,541330,"Engineering Services",0.462,2,NA,NA,"BC","North Vancouver",2017
"AMEC Environment & Infrstrctr",43.508926,-79.670471,541330,"Engineering Services",1.848,8,NA,NA,"ON","Oakville",2017
"North Star Engineering Ltd",53.488605,-113.467033,541330,"Engineering Services",0.924,4,NA,NA,"AB","Edmonton",2017
"Furneco International Inc",44.011999,-79.454219,541330,"Engineering Services",0.231,1,NA,NA,"ON","Aurora",2017
"Caliber Bridge & Design",50.017549,-125.248445,541330,"Engineering Services",1.155,5,NA,NA,"BC","Campbell River",2017
"Oneoak Design Inc",49.1673568,-122.9579137,541330,"Engineering Services",1.155,5,NA,NA,"BC","Delta",2017
"Mcclymont & Rak Engineers Inc",43.830538,-79.32272,541330,"Engineering Services",2.31,10,NA,NA,"ON","Markham",2017
"A Sa Inc",45.423448,-73.484101,541330,"Engineering Services",0.231,1,NA,NA,"QC","La Prairie",2017
"Worley Parsons Canada Svc Ltd",53.55986,-113.316299,541330,"Engineering Services",1.617,7,NA,NA,"AB","Sherwood Park",2017
"Filer Engineering Ltd",43.2894225,-79.876743,541330,"Engineering Services",0.693,3,NA,NA,"ON","Burlington",2017
"Becht Engineering Canada Ltd",50.975919,-114.014375,541330,"Engineering Services",0.924,4,NA,NA,"AB","Calgary",2017
"Wellsite Masters Engineering",53.545378,-113.627234,541330,"Engineering Services",1.617,7,NA,NA,"AB","Edmonton",2017
"David Schaeffer Engrg Ltd",45.2780188,-75.9056365,541330,"Engineering Services",2.772,12,NA,NA,"ON","Stittsville",2017
"Fransen Engineering Ltd",53.916009,-122.750474,541330,"Engineering Services",0.693,3,NA,NA,"BC","Prince George",2017
"Merrick Canada ULC",45.3020082,-75.9073838,541330,"Engineering Services",1.848,8,NA,NA,"ON","Kanata",2017
"Daley Ferraro Assoc Engnrng",45.280191,-76.023035,541330,"Engineering Services",0.462,2,NA,NA,"ON","Carp",2017
"Hippodesign Inc",45.671438,-75.020054,541330,"Engineering Services",0.693,3,NA,NA,"QC","Saint-Andre-Avellin",2017
"Service D'Ingenierie Jokinen",45.9005124,-74.8466735,541330,"Engineering Services",0.924,4,NA,NA,"QC","Namur",2017
"Service D'Ingenierie Jokinen",45.902432,-74.916895,541330,"Engineering Services",0.924,4,NA,NA,"QC","Namur",2017
"Service D'Ingenierie Jokinen",45.902432,-74.916895,541330,"Engineering Services",0.924,4,NA,NA,"QC","Namur",2017
"North Winds Energy Inc",49.764302,-94.523995,541330,"Engineering Services",0.693,3,NA,NA,"ON","Kenora",2017
"Camperville Community Well",51.855972,-100.12181,541330,"Engineering Services",0.462,2,NA,NA,"MB","Camperville",2017
"St Leon Wind Energy LP Inc",49.33486,-98.567854,541330,"Engineering Services",2.31,10,NA,NA,"MB","St Leon",2017
"M F Tulloch Inc",45.711107,-81.806552,541330,"Engineering Services",0.693,3,NA,NA,"ON","Little Current",2017
"CMA Engineering",49.223988,-84.680868,541330,"Engineering Services",0.693,3,NA,NA,"ON","Hornepayne",2017
"Engineering Northwest",48.624134,-90.166787,541330,"Engineering Services",0.693,3,NA,NA,"ON","Shebandowan",2017
"Engineering Harmonics",45.4223195,-75.6948771,541330,"Engineering Services",1.617,7,NA,NA,"ON","Ottawa",2017
"Mirkwood Engineering Inc",51.061872,-114.062445,541330,"Engineering Services",1.155,5,NA,NA,"AB","Calgary",2017
"MTE Consultants",43.387977,-79.765338,541330,"Engineering Services",9.24,40,NA,NA,"ON","Burlington",2017
"Winters Instruments Ltd",50.956813,-113.997211,541330,"Engineering Services",0.462,2,NA,NA,"AB","Calgary",2017
"Megatech Engineering Ltd",49.117256,-123.807155,541330,"Engineering Services",1.155,5,NA,NA,"BC","Nanaimo",2017
