region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,total_sales_M_real,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
1311026,Aberdeen,2025,541330,Engineering Services,secondary,1.17,1.17,<$5M,2,3.0,6.0,0.776,13.65,5.007,False
1311026,Aberdeen,2025,ALL,All,all,1.17,1.17,<$5M,2,3.0,6.0,0.456,8.054,3.211,False
1311026,Aberdeen,2025,SECONDARY,Secondary,secondary,1.17,1.17,<$5M,2,3.0,6.0,0.461,8.096,3.242,False
4715018,Aberdeen No. 373,2018,541370,Surveying & Mapping (except Geophysical) Services,secondary,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2018,ALL,All,all,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2018,SECONDARY,Secondary,secondary,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2019,541370,Surveying & Mapping (except Geophysical) Services,secondary,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2019,ALL,All,all,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2019,SECONDARY,Secondary,secondary,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2020,541370,Surveying & Mapping (except Geophysical) Services,secondary,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2020,ALL,All,all,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2020,SECONDARY,Secondary,secondary,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2021,541370,Surveying and Mapping (except Geophysical) Service,secondary,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2021,ALL,All,all,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2021,SECONDARY,Secondary,secondary,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2022,541370,Surveying and Mapping (except Geophysical) Service,secondary,,,<$5M,<2,,,,,,True
4715018,Aberdeen No. 373,2022,ALL,All,all,,,<$5M,<2,,,,,,True
