region_uid,region_name,year,tier,object_sector,total_value,total_value_real,n_contracts,n_vendors
35,Ontario,2020,Industrial and Technical Support,ALL,674929604.78,808930227.0428905,2047,616
35,Ontario,2021,Core Defence Industrial Complex,ALL,51786814.1,60052223.69505649,110,66
35,Ontario,2021,General Government Support,ALL,487141300.33,564891253.631257,2590,975
35,Ontario,2021,Industrial and Technical Support,ALL,759366106.21,880564368.9243078,2332,607
35,Ontario,2022,Core Defence Industrial Complex,ALL,87536239.61,95062503.59763229,121,71
35,Ontario,2022,General Government Support,ALL,1547673240.22,1680740383.889709,2906,1131
35,Ontario,2022,Industrial and Technical Support,ALL,1070166007.45,1162177635.0746694,2503,731
35,Ontario,2023,Core Defence Industrial Complex,ALL,617777397.93,645697318.5239084,158,101
35,Ontario,2023,General Government Support,ALL,592920342.22,619716869.4622788,3421,1355
35,Ontario,2023,Industrial and Technical Support,ALL,2564169555.62,2680055003.391496,2649,873
35,Ontario,2024,Core Defence Industrial Complex,ALL,1022211106.83,1043176281.799167,140,96
35,Ontario,2024,General Government Support,ALL,11691274811.22,11931058570.555151,3205,1251
35,Ontario,2024,Industrial and Technical Support,ALL,1360493397.77,1388396618.4824984,2273,804
35,Ontario,2025,Core Defence Industrial Complex,ALL,117463064.84,117463064.84,300,161
35,Ontario,2025,General Government Support,ALL,987476210.92,987476210.92,4330,1560
35,Ontario,2025,Industrial and Technical Support,ALL,1340451367.52,1340451367.52,2999,942
35,Ontario,2026,Core Defence Industrial Complex,ALL,340697816.37,333388447.24644816,146,78
35,Ontario,2026,General Government Support,ALL,140445669.18,137432532.05814064,1082,563
35,Ontario,2026,Industrial and Technical Support,ALL,461770468.57,451863593.2013945,808,380
46,Manitoba,2016,Core Defence Industrial Complex,ALL,7102130.86,9082319.993862927,4,3
46,Manitoba,2016,General Government Support,ALL,1121778.3599999999,1434548.3388785045,19,7
