region_uid,region_name,year,NAICS6,NAICSD,defence_type,total_sales_M,sales_bucket,n_firms,avg_employees,total_jobs,lq_sales,lq_firms,lq_jobs,suppressed
410,Alma,2022,541330,Engineering Services,secondary,14.784,>=$5M,9,6.8,61.0,0.681,0.919,0.548,False
410,Alma,2022,541370,Surveying and Mapping (except Geophysical) Service,secondary,8.085,>=$5M,4,13.8,55.0,3.899,2.176,3.232,False
410,Alma,2022,541511,Custom Computer Programming Services,secondary,,<$5M,<2,,,,,,True
410,Alma,2022,ALL,All,all,40.245,>=$5M,16,9.8,156.0,0.901,0.998,0.826,False
410,Alma,2022,PRIMARY,Primary,primary,,>=$5M,<2,,,,,,True
410,Alma,2022,SECONDARY,Secondary,secondary,26.7,>=$5M,15,8.1,121.0,0.692,1.007,0.716,False
410,Alma,2023,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,,<$5M,<2,,,,,,True
410,Alma,2023,333310,Commercial and Service Industry Machinery Manufact,primary,,>=$5M,<2,,,,,,True
410,Alma,2023,541330,Engineering Services,secondary,11.341,>=$5M,7,7.1,50.0,0.606,0.797,0.531,False
410,Alma,2023,541370,Surveying and Mapping (except Geophysical) Service,secondary,7.309,>=$5M,4,13.8,55.0,3.839,2.343,3.42,False
410,Alma,2023,541511,Custom Computer Programming Services,secondary,,<$5M,<2,,,,,,True
410,Alma,2023,ALL,All,all,36.026,>=$5M,14,10.4,145.0,0.911,0.959,0.865,False
410,Alma,2023,PRIMARY,Primary,primary,,>=$5M,<2,,,,,,True
410,Alma,2023,SECONDARY,Secondary,secondary,22.481,>=$5M,13,8.5,110.0,0.653,0.961,0.737,False
410,Alma,2024,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,,<$5M,<2,,,,,,True
410,Alma,2024,333310,Commercial and Service Industry Machinery Manufact,primary,,>=$5M,<2,,,,,,True
410,Alma,2024,541330,Engineering Services,secondary,16.959,>=$5M,7,12.4,87.0,0.837,0.806,0.606,False
410,Alma,2024,541370,Surveying and Mapping (except Geophysical) Service,secondary,5.416,>=$5M,4,13.8,55.0,6.047,2.484,4.404,False
410,Alma,2024,541511,Custom Computer Programming Services,secondary,1.049,<$5M,3,2.3,7.0,0.296,1.265,0.216,False
410,Alma,2024,ALL,All,all,31.932,>=$5M,16,11.7,187.0,0.9,1.094,0.806,False
410,Alma,2024,PRIMARY,Primary,primary,,>=$5M,<2,,,,,,True
410,Alma,2024,SECONDARY,Secondary,secondary,25.357,>=$5M,15,10.1,152.0,0.801,1.106,0.726,False
410,Alma,2025,331110,Iron and Steel Mills and Ferroalloy Manufacturing,secondary,,<$5M,<2,,,,,,True
410,Alma,2025,333310,Commercial and Service Industry Machinery Manufact,primary,,>=$5M,<2,,,,,,True
410,Alma,2025,541330,Engineering Services,secondary,16.959,>=$5M,7,12.4,87.0,0.837,0.808,0.616,False
410,Alma,2025,541370,Surveying and Mapping (except Geophysical) Service,secondary,5.416,>=$5M,4,13.8,55.0,5.816,2.496,4.305,False
410,Alma,2025,541511,Custom Computer Programming Services,secondary,1.049,<$5M,3,2.3,7.0,0.273,1.173,0.202,False
410,Alma,2025,ALL,All,all,31.932,>=$5M,16,11.7,187.0,0.897,1.083,0.808,False
410,Alma,2025,PRIMARY,Primary,primary,,>=$5M,<2,,,,,,True
410,Alma,2025,SECONDARY,Secondary,secondary,25.357,>=$5M,15,10.1,152.0,0.797,1.094,0.728,False
481,Amos,2017,541370,Surveying & Mapping (except Geophysical) Services,secondary,8.82,>=$5M,3,20.0,60.0,5.166,2.812,5.488,False
481,Amos,2017,ALL,All,all,8.82,>=$5M,3,20.0,60.0,0.287,0.403,0.62,False
481,Amos,2017,SECONDARY,Secondary,secondary,8.82,>=$5M,3,20.0,60.0,0.308,0.407,0.649,False
481,Amos,2018,541370,Surveying & Mapping (except Geophysical) Services,secondary,8.82,>=$5M,3,20.0,60.0,5.099,2.734,5.466,False
481,Amos,2018,ALL,All,all,8.82,>=$5M,3,20.0,60.0,0.271,0.382,0.584,False
481,Amos,2018,SECONDARY,Secondary,secondary,8.82,>=$5M,3,20.0,60.0,0.29,0.386,0.611,False
481,Amos,2019,541330,Engineering Services,secondary,,<$5M,<2,,,,,,True
481,Amos,2019,541370,Surveying & Mapping (except Geophysical) Services,secondary,8.82,>=$5M,3,20.0,60.0,4.958,2.586,5.123,False
481,Amos,2019,ALL,All,all,10.437,>=$5M,4,16.8,67.0,0.267,0.445,0.511,False
481,Amos,2019,SECONDARY,Secondary,secondary,10.437,>=$5M,4,16.8,67.0,0.292,0.451,0.539,False
481,Amos,2020,541370,Surveying & Mapping (except Geophysical) Services,secondary,8.967,>=$5M,4,15.2,61.0,5.405,3.661,5.912,False
481,Amos,2020,ALL,All,all,8.967,>=$5M,4,15.2,61.0,0.204,0.476,0.43,False
481,Amos,2020,SECONDARY,Secondary,secondary,8.967,>=$5M,4,15.2,61.0,0.219,0.482,0.447,False
481,Amos,2021,541370,Surveying and Mapping (except Geophysical) Service,secondary,8.967,>=$5M,4,15.2,61.0,5.281,3.66,5.83,False
481,Amos,2021,ALL,All,all,8.967,>=$5M,4,15.2,61.0,0.253,0.48,0.559,False
481,Amos,2021,SECONDARY,Secondary,secondary,8.967,>=$5M,4,15.2,61.0,0.277,0.487,0.59,False
481,Amos,2022,333310,Commercial and Service Industry Machinery Manufact,primary,,<$5M,<2,,,,,,True
481,Amos,2022,541370,Surveying and Mapping (except Geophysical) Service,secondary,8.967,>=$5M,4,15.2,61.0,5.265,3.742,5.724,False
481,Amos,2022,ALL,All,all,10.902,>=$5M,5,13.2,66.0,0.297,0.536,0.558,False
481,Amos,2022,PRIMARY,Primary,primary,,<$5M,<2,,,,,,True
481,Amos,2022,SECONDARY,Secondary,secondary,8.967,>=$5M,4,15.2,61.0,0.283,0.462,0.576,False
481,Amos,2023,333310,Commercial and Service Industry Machinery Manufact,primary,,<$5M,<2,,,,,,True
481,Amos,2023,541370,Surveying and Mapping (except Geophysical) Service,secondary,6.54,>=$5M,4,15.2,61.0,3.993,4.047,5.91,False
481,Amos,2023,ALL,All,all,7.48,>=$5M,5,13.2,66.0,0.22,0.592,0.614,False
481,Amos,2023,PRIMARY,Primary,primary,,<$5M,<2,,,,,,True
481,Amos,2023,SECONDARY,Secondary,secondary,6.54,>=$5M,4,15.2,61.0,0.221,0.511,0.637,False
481,Amos,2024,333310,Commercial and Service Industry Machinery Manufact,primary,,<$5M,<2,,,,,,True
481,Amos,2024,541370,Surveying and Mapping (except Geophysical) Service,secondary,5.515,>=$5M,4,14.0,56.0,6.309,4.301,7.178,False
481,Amos,2024,ALL,All,all,6.455,>=$5M,5,12.2,61.0,0.186,0.592,0.421,False
481,Amos,2024,PRIMARY,Primary,primary,,<$5M,<2,,,,,,True
481,Amos,2024,SECONDARY,Secondary,secondary,5.515,>=$5M,4,14.0,56.0,0.178,0.511,0.428,False
481,Amos,2025,333310,Commercial and Service Industry Machinery Manufact,primary,,<$5M,<2,,,,,,True
481,Amos,2025,541370,Surveying and Mapping (except Geophysical) Service,secondary,5.515,>=$5M,4,14.0,56.0,6.162,4.224,6.858,False
481,Amos,2025,ALL,All,all,6.455,>=$5M,5,12.2,61.0,0.189,0.573,0.413,False
481,Amos,2025,PRIMARY,Primary,primary,,<$5M,<2,,,,,,True
481,Amos,2025,SECONDARY,Secondary,secondary,5.515,>=$5M,4,14.0,56.0,0.18,0.494,0.419,False
